[150.26, 88.18]
[140.68, 150.02]
[239.37, 252.89]
[366.55, 213.67]
[352.44, 114.03]
[349.8, 166.05]
[320.7, 101.68]
[453.29, 229.83]
[632.1, 535.15]
[622.88, 590.48]
[659.76, 475.22]
[656.69, 533.62]
[636.16, 590.26]
[497.3, 577.08]
[518.16, 507.93]
[468.76, 460.18]
[412.23, 461.83]
[304.68, 771.5]
[442.16, 785.2]
[448.3, 832.44]
[470.98, 786.14]
[573.5, 760.16]
[638.29, 942.09]
[633.99, 983.7]
[509.16, 905.74]
[515.86, 955.0]
[493.38, 998.05]
[484.29, 967.44]
[435.03, 979.4]
[425.47, 1012.39]
[416.86, 1039.18]
[314.76, 926.24]
[323.3, 969.51]
[377.96, 1064.02]
[395.61, 1097.62]
[340.95, 1056.62]
[329.56, 1085.66]
[68.99, 918.73]
[73.73, 966.85]
[272.33, 932.29]
[301.12, 1070.22]
[310.93, 1121.19]
[262.41, 1084.43]
[111.57, 1185.2]
[114.41, 1220.28]
[328.79, 1252.34]
[344.86, 1222.7]
[271.93, 1351.5]
[254.84, 1367.3]
[303.96, 1348.51]
[305.24, 1386.95]
[309.51, 1422.58]
[354.05, 1410.04]
[389.93, 1388.85]
[415.44, 1358.59]
[474.37, 1296.83]
[462.61, 1326.61]
[478.78, 1260.8]
[513.25, 1078.31]
[521.53, 1106.94]
[531.71, 1125.78]
[483.48, 1097.15]
[487.25, 1135.58]
[494.37, 1180.82]
[456.69, 1072.31]
[453.97, 1105.0]
[564.75, 1135.87]
[585.63, 1167.2]
[591.99, 1187.63]
[594.26, 1204.43]
[634.21, 1169.92]
[618.78, 1292.97]
[627.27, 1316.52]
[646.57, 1336.6]
[582.48, 1312.28]
[560.86, 1314.59]
[557.0, 1353.2]
[551.99, 1379.45]
[519.17, 1319.23]
[526.12, 1357.45]
[516.38, 1382.8]
[524.97, 1402.34]
[460.68, 1410.27]
[352.28, 1440.3]
[472.72, 1510.95]
[576.34, 1491.77]
[594.85, 1464.52]
[603.26, 1434.24]
[585.43, 1508.93]
[492.91, 1532.48]
[463.31, 1460.48]
[437.4, 1481.34]
[245.91, 1485.31]
[249.52, 1523.76]
[282.6, 1593.35]
[290.3, 1628.22]
[333.27, 1621.73]
[327.71, 1710.97]
[293.81, 1704.65]
[286.34, 1730.51]
[274.28, 1758.66]
[274.28, 1678.22]
[593.89, 1604.01]
[566.19, 1581.85]
[551.65, 1615.09]
[553.03, 1657.33]
[530.87, 1703.03]
[474.78, 1680.87]
[457.47, 1698.87]
[503.48, 1819.38]
[510.21, 1785.32]
[325.51, 1842.22]
[337.72, 1888.2]
[284.56, 1863.77]
[301.08, 1830.01]
[303.24, 1796.25]
[349.62, 1811.16]
[340.09, 1780.0]
[371.25, 1806.39]
[407.17, 1699.3]
[414.43, 255.08]
[352.75, 1655.22]
[655.73, 1375.3]
[390.78, 118.46]
[448.75, 164.67]
[398.34, 234.4]
