[572.71, 41.24]
[588.14, 92.07]
[555.69, 75.84]
[560.96, 122.09]
[550.41, 152.92]
[556.5, 200.79]
[533.38, 72.6]
[517.55, 116.0]
[525.26, 44.2]
[511.06, 79.49]
[530.02, 200.43]
[639.03, 156.27]
[645.24, 216.64]
[613.16, 124.19]
[600.39, 173.52]
[582.8, 208.36]
[593.5, 234.93]
[609.71, 245.83]
[612.35, 209.46]
[617.05, 180.41]
[568.35, 248.47]
[532.13, 246.02]
[516.75, 283.86]
[679.89, 439.0]
[649.49, 406.48]
[610.25, 407.89]
[701.69, 506.29]
[675.77, 546.94]
[510.98, 384.77]
[543.44, 407.62]
[537.13, 386.28]
[540.79, 434.5]
[521.47, 482.2]
[516.04, 520.24]
[488.26, 564.92]
[479.21, 506.35]
[453.24, 514.2]
[422.45, 509.37]
[415.21, 554.05]
[606.57, 591.81]
[635.39, 606.65]
[636.39, 726.08]
[606.01, 734.53]
[592.11, 764.97]
[589.1, 825.1]
[569.56, 731.52]
[552.27, 730.77]
[547.01, 771.73]
[521.46, 760.84]
[512.06, 711.98]
[462.45, 728.14]
[444.41, 766.1]
[403.45, 811.95]
[664.58, 845.12]
[685.88, 840.56]
[634.52, 899.14]
[646.32, 866.81]
[659.25, 956.59]
[668.76, 992.35]
[508.63, 949.17]
[527.71, 985.4]
[503.77, 860.2]
[518.98, 894.82]
[528.36, 854.38]
[461.89, 875.38]
[445.84, 973.49]
[443.09, 922.6]
[397.7, 943.23]
[383.49, 991.83]
[384.86, 958.36]
[210.65, 940.03]
[281.96, 1117.05]
[427.15, 1104.31]
[523.26, 1071.44]
[497.73, 1008.78]
[472.21, 1012.96]
[463.39, 1051.95]
[400.73, 1130.38]
[406.3, 1084.9]
[400.27, 1208.82]
[386.34, 1235.74]
[442.04, 1170.76]
[519.55, 1172.62]
[562.24, 1175.87]
[577.56, 1207.43]
[558.07, 1208.82]
[560.85, 1114.14]
[575.84, 1234.87]
[639.38, 1092.0]
[615.7, 1093.18]
[655.72, 1046.56]
[641.45, 1019.45]
[321.01, 1320.74]
[326.74, 1291.27]
[333.7, 1350.22]
[345.58, 1245.41]
[465.54, 602.77]
[510.18, 616.28]
[533.08, 673.26]
[406.8, 605.71]
[419.72, 652.11]
[28.56, 489.15]
[29.75, 524.23]
[53.53, 609.26]
[53.53, 644.34]
[412.67, 629.21]
[455.93, 912.52]
[472.6, 777.75]
[613.9, 783.38]
[584.53, 172.14]
[434.28, 1068.43]
[669.55, 166.22]
[581.76, 436.01]
[552.29, 459.87]
[523.06, 156.11]
[485.18, 468.18]
[557.09, 507.99]
[449.86, 617.15]
[512.14, 689.7]
[413.9, 777.03]
[438.3, 817.48]
[403.63, 1008.83]
[517.92, 1024.24]
[661.71, 425.66]
[678.6, 454.32]
[521.72, 367.5]
[521.25, 394.52]
[515.55, 827.23]
[467.85, 453.08]
[595.52, 538.93]
[571.86, 499.31]
[641.82, 641.01]
[653.22, 753.71]
[445.1, 899.4]
[634.57, 1034.5]
