[295.34, -84.65]
[124.09, 45.72]
[187.34, 51.89]
[110.2, 73.49]
[139.52, 114.38]
[90.92, 88.15]
[100.17, 150.63]
[62.77, 129.24]
[48.72, 89.88]
[38.88, 96.91]
[63.24, 155.95]
[81.28, 305.46]
[135.83, 332.97]
[106.42, 334.39]
[230.57, 237.31]
[226.45, 270.58]
[293.33, 361.92]
[109.81, 424.52]
[80.88, 447.66]
[43.68, 463.78]
[242.48, 470.4]
[217.69, 498.5]
[166.85, 527.85]
[185.86, 559.67]
[135.02, 534.05]
[127.99, 572.07]
[118.93, 615.55]
[215.16, 641.07]
[251.56, 679.15]
[354.91, 615.55]
[247.38, 646.09]
[247.38, 709.69]
[229.81, 708.02]
[190.89, 657.39]
[164.95, 682.91]
[172.89, 779.85]
[174.31, 736.79]
[150.48, 725.41]
[214.93, 803.39]
[247.96, 759.34]
[278.04, 748.76]
[294.98, 726.73]
[327.17, 736.9]
[349.19, 759.77]
[379.27, 756.8]
[384.77, 811.44]
[362.75, 788.57]
[364.02, 772.48]
[362.75, 743.67]
[265.75, 875.82]
[274.22, 914.37]
[236.95, 845.33]
[339.5, 939.61]
[228.88, 877.43]
[248.17, 903.16]
[205.73, 880.44]
[234.88, 919.88]
[162.85, 876.15]
[149.13, 911.31]
[142.27, 931.89]
[130.26, 891.58]
[153.84, 855.14]
[198.01, 905.3]
[225.5, 949.94]
[233.16, 975.1]
[267.43, 1025.05]
[272.63, 1061.93]
[286.06, 1091.9]
[235.94, 1066.58]
[219.92, 1048.5]
[202.35, 962.2]
[202.35, 987.52]
[159.46, 961.69]
[140.34, 978.74]
[117.09, 988.04]
[167.73, 1025.24]
[154.81, 1061.41]
[166.18, 1085.18]
[218.71, 1077.07]
[230.95, 1125.72]
[251.04, 1153.96]
[202.39, 1141.41]
[213.38, 1164.32]
[223.73, 1188.49]
[194.55, 1162.44]
[181.43, 1167.31]
[173.49, 1197.49]
[158.87, 1232.12]
[147.15, 1262.7]
[150.69, 1282.64]
[140.4, 1324.13]
[136.54, 1362.4]
[173.21, 1325.09]
[216.95, 1263.98]
[233.35, 1299.04]
[227.56, 1343.1]
[227.24, 1383.63]
[343.98, 1429.11]
[349.44, 1451.81]
[333.31, 1444.97]
[340.69, 1479.7]
[287.09, 1474.24]
[303.77, 1510.34]
[241.96, 1505.41]
[121.42, 1449.07]
[173.57, 1494.03]
[158.28, 1532.82]
[148.27, 1570.48]
[157.09, 1590.26]
[148.75, 1607.42]
[175.68, 1625.29]
[129.86, 1272.87]
[174.08, 437.23]
[409.15, 632.17]
[281.5, 774.97]
[171.35, 987.52]
[348.08, 963.62]
[381.81, 780.95]
[157.84, 642.33]
[207.21, 695.05]
[99.3, 283.64]
[292.28, 1560.03]
[272.38, 1545.51]
[258.93, 1520.76]
[134.65, 1429.3]
[212.52, 775.73]
[153.8, 743.78]
[157.09, 756.47]
[209.7, 846.67]
[190.91, 1188.68]
[183.87, 1207.47]
[175.88, 1357.34]
[231.32, 1413.72]
[176.82, 1521.77]
[259.03, 1471.03]
[183.87, 1585.19]
[251.83, 732.44]
[234.39, 1205.04]
[170.14, 898.18]
[219.1, 955.38]
[219.99, 979.16]
[176.95, 1056.57]
[187.64, 1325.34]
