[753.25, -24.17]
[54.04, 66.68]
[42.35, 104.73]
[77.4, 98.14]
[119.94, 97.84]
[122.94, 66.98]
[110.35, 120.6]
[54.04, 149.36]
[76.8, 174.53]
[86.19, 218.29]
[129.15, 260.24]
[392.47, 180.38]
[221.13, 237.5]
[224.67, 283.99]
[258.54, 323.42]
[299.47, 319.37]
[285.32, 360.82]
[415.69, 301.48]
[430.92, 419.64]
[407.77, 451.31]
[207.38, 336.8]
[156.22, 371.52]
[137.34, 396.49]
[162.31, 430.6]
[190.94, 408.68]
[222.0, 397.1]
[242.71, 559.73]
[124.54, 547.55]
[97.87, 554.02]
[97.87, 593.73]
[227.83, 507.09]
[201.12, 521.53]
[335.16, 705.36]
[261.77, 865.51]
[266.05, 904.45]
[257.06, 937.4]
[213.84, 961.79]
[346.5, 930.13]
[311.43, 1012.61]
[262.23, 1025.92]
[307.71, 1040.15]
[232.21, 1042.01]
[194.04, 1183.4]
[225.44, 1090.25]
[201.33, 1095.71]
[336.44, 1076.03]
[456.18, 224.94]
[474.09, 245.8]
[342.31, 485.7]
[251.5, 528.05]
[190.86, 629.33]
[255.23, 749.85]
[239.93, 773.72]
[272.98, 796.37]
[249.1, 1275.39]
[468.46, 166.82]
[406.62, 251.3]
[237.66, 345.36]
[222.85, 314.88]
[169.73, 530.87]
[166.5, 652.38]
[160.16, 610.68]
[215.46, 689.78]
[271.58, 748.85]
[260.5, 785.03]
[229.49, 827.12]
[296.74, 781.93]
[295.92, 736.05]
[313.94, 807.34]
[313.12, 868.79]
[311.49, 918.78]
[186.57, 887.37]
[201.58, 809.33]
[210.48, 855.86]
[205.69, 875.71]
[213.9, 903.08]
[224.16, 936.61]
[194.92, 1058.65]
[260.56, 1115.68]
[188.66, 1215.75]
[389.41, 1080.82]
[259.99, 1083.64]
[183.45, 1161.88]
[279.88, 1074.63]
[294.57, 1098.51]
[274.14, 1162.8]
[237.47, 1294.5]
[222.16, 1312.87]
[107.69, 95.99]
[205.61, 381.15]
[317.61, 721.04]
[326.84, 760.38]
[269.8, 828.47]
[219.11, 986.27]
[224.73, 1160.97]
[303.94, 1160.47]
[399.09, 1119.69]
[220.1, 1185.8]
[263.62, 1223.21]
[302.45, 1192.28]
[252.45, 1195.73]
[226.77, 1213.03]
[211.92, 1221.89]
[245.84, 1163.04]
[210.66, 1122.43]
