[267.4, 44.94]
[272.69, 103.15]
[274.01, 152.1]
[383.82, 175.92]
[383.82, 248.68]
[476.43, 64.79]
[501.56, 103.15]
[529.34, 150.78]
[611.37, 152.1]
[603.43, 220.9]
[575.65, 191.79]
[576.97, 253.97]
[576.97, 318.8]
[605.32, 380.98]
[595.87, 416.89]
[600.6, 455.63]
[556.18, 415.94]
[563.74, 469.81]
[525.94, 456.58]
[513.66, 411.22]
[462.63, 414.05]
[440.89, 463.19]
[464.52, 522.73]
[218.91, 253.59]
[227.75, 321.9]
[260.69, 375.73]
[155.43, 350.82]
[178.73, 297.79]
[185.16, 247.17]
[290.8, 472.29]
[287.38, 535.83]
[272.35, 589.81]
[238.87, 583.66]
[253.9, 526.27]
[258.0, 472.97]
[601.69, 587.36]
[619.12, 520.54]
[516.47, 766.51]
[500.01, 707.44]
[465.15, 675.49]
[458.37, 765.55]
[295.93, 741.06]
[283.22, 718.48]
[270.52, 684.6]
[236.93, 765.23]
[239.44, 706.71]
[324.76, 983.23]
[315.65, 916.9]
[282.74, 1014.62]
[274.13, 981.2]
[345.52, 989.81]
[548.05, 1011.07]
[459.29, 1084.27]
[459.8, 1146.8]
[591.01, 1193.95]
[615.61, 1237.01]
[500.8, 1193.95]
[284.51, 1072.48]
[282.46, 1124.25]
[231.2, 1142.7]
[242.99, 1190.37]
[212.24, 1151.41]
[187.63, 1145.26]
[44.67, 1435.47]
[334.41, 1251.46]
[335.46, 1292.6]
[319.64, 1348.52]
[253.78, 1268.79]
[255.28, 1344.15]
[268.09, 1396.14]
[243.23, 1417.24]
[245.49, 1353.94]
[238.71, 1449.64]
[206.3, 1397.65]
[306.53, 1438.34]
[297.48, 1482.8]
[369.83, 1419.5]
[377.36, 1466.22]
[383.39, 1326.06]
[400.72, 1382.58]
[366.06, 1255.98]
[362.29, 1307.97]
[457.19, 1265.53]
[454.5, 1363.95]
[451.42, 1322.82]
[488.33, 1320.51]
[493.72, 1370.49]
[488.33, 1275.14]
[511.02, 1248.23]
[497.18, 1226.31]
[598.54, 1705.79]
[581.44, 1748.26]
[549.45, 1778.6]
[548.35, 1801.21]
[526.28, 1849.2]
[502.01, 1816.1]
[487.67, 1739.43]
[520.77, 1786.87]
[478.85, 1708.55]
[452.92, 1723.99]
[460.09, 1761.5]
[433.07, 1749.91]
[463.4, 1795.7]
[411.55, 1787.97]
[410.45, 1743.3]
[444.65, 1821.07]
[472.78, 1857.47]
[420.38, 1818.31]
[320.54, 1700.27]
[328.26, 1744.95]
[338.74, 1783.56]
[350.88, 1739.99]
[348.12, 1692.0]
[363.01, 1653.39]
[371.29, 1619.19]
[303.44, 1725.64]
[302.34, 1749.91]
[623.53, 1988.16]
[622.6, 2022.59]
[554.66, 2018.87]
[544.43, 2063.54]
[533.26, 2088.67]
[396.36, 1974.08]
[400.16, 2028.21]
[431.5, 2116.05]
[327.04, 1972.18]
[347.93, 1987.38]
[305.67, 1918.06]
[378.32, 1957.47]
[372.62, 2000.67]
[342.12, 2051.18]
[334.91, 2103.71]
[265.22, 2078.65]
[251.83, 2115.04]
[288.22, 2085.51]
[223.2, 2150.62]
[252.88, 2191.01]
[258.72, 2232.85]
[276.24, 2256.21]
[280.62, 2163.76]
[273.32, 2185.65]
[265.0, 2293.84]
[277.71, 2314.82]
[297.22, 2327.82]
[290.42, 2340.83]
[270.32, 2326.94]
[241.95, 2312.16]
[242.84, 2345.26]
[242.25, 2383.98]
[205.49, 2403.48]
[198.61, 2433.1]
[198.96, 2541.39]
[455.48, 2479.06]
[457.6, 2510.01]
[505.94, 2535.88]
[502.97, 2560.04]
[495.98, 2585.16]
[433.88, 2250.08]
[588.75, 2296.66]
[597.01, 2342.72]
[559.81, 2101.87]
[569.66, 2063.69]
[387.38, 2121.58]
[357.83, 2096.95]
[358.44, 2059.38]
[351.67, 2215.8]
[367.68, 2252.13]
[382.57, 1536.01]
[392.46, 1575.56]
[354.43, 1581.64]
[465.46, 1579.36]
[422.87, 1560.35]
[522.5, 1517.76]
[425.16, 1497.99]
[592.3, 1451.55]
[588.42, 1488.41]
[627.87, 1453.49]
[619.46, 1499.4]
[343.33, 1622.27]
[335.57, 1662.37]
[276.07, 1436.67]
[275.28, 1233.58]
[236.88, 790.23]
[242.84, 833.31]
[379.58, 794.67]
[397.92, 677.18]
[401.75, 733.72]
[374.05, 1911.41]
[327.04, 1928.5]
[419.13, 1312.82]
[329.13, 1409.71]
[247.75, 1298.93]
[281.22, 929.05]
[302.48, 960.95]
[334.89, 921.96]
