[450.81, 461.74]
[583.26, 85.42]
[583.26, 195.91]
[476.54, 249.81]
[463.61, 294.55]
[551.97, 67.14]
[580.38, 21.31]
[609.19, 349.26]
[592.95, 396.03]
[624.13, 414.86]
[574.76, 333.02]
[507.21, 384.98]
[509.15, 264.82]
[498.11, 326.52]
[468.23, 381.09]
[518.23, 498.05]
[547.69, 556.05]
[519.15, 583.66]
[488.78, 529.35]
[556.9, 626.93]
[547.64, 581.09]
[485.64, 587.2]
[464.5, 601.29]
[453.23, 521.91]
[434.44, 567.94]
[411.43, 593.77]
[408.14, 515.8]
[408.14, 551.03]
[409.55, 633.69]
[407.67, 461.79]
[389.82, 515.8]
[388.88, 677.84]
[317.49, 660.94]
[364.46, 495.14]
[350.84, 453.81]
[312.33, 481.99]
[298.71, 605.98]
[333.46, 577.33]
[321.25, 534.12]
[294.95, 560.42]
[348.96, 543.52]
[263.48, 406.84]
[261.13, 303.04]
[293.07, 333.1]
[307.63, 388.05]
[244.22, 398.85]
[251.27, 355.17]
[217.92, 454.28]
[185.98, 460.38]
[260.66, 428.44]
[194.91, 560.89]
[226.38, 604.57]
[131.97, 584.85]
[374.79, 800.9]
[383.25, 721.52]
[400.16, 744.54]
[403.44, 839.88]
[368.22, 848.34]
[366.34, 729.51]
[350.37, 789.63]
[325.48, 724.81]
[326.89, 890.14]
[318.9, 818.75]
[298.24, 897.65]
[298.71, 825.79]
[288.37, 791.98]
[272.4, 730.92]
[279.92, 860.08]
[350.84, 903.29]
[362.58, 948.85]
[82.65, 708.84]
[211.35, 725.75]
[151.7, 700.86]
[175.65, 702.27]
[186.45, 768.96]
[131.97, 688.18]
[94.4, 670.8]
[100.5, 712.6]
[86.41, 641.68]
[77.49, 683.95]
[56.35, 747.36]
[60.11, 790.1]
[81.71, 750.64]
[50.25, 822.97]
[83.59, 807.48]
[11.73, 715.42]
[12.67, 753.93]
[164.8, 889.43]
[89.48, 888.0]
[145.11, 853.48]
[175.64, 914.82]
[175.07, 951.05]
[104.32, 955.04]
[140.55, 975.58]
[142.54, 929.94]
[232.12, 1008.67]
[228.13, 938.78]
[270.92, 933.36]
[436.38, 850.06]
[443.23, 867.46]
[449.22, 921.09]
[405.0, 785.3]
[452.92, 837.79]
[521.11, 800.99]
[583.01, 933.65]
[457.49, 866.04]
[623.62, 961.03]
[616.01, 978.15]
[594.14, 904.93]
[572.74, 984.81]
[546.59, 907.31]
[538.51, 1035.68]
[553.72, 1075.14]
[551.82, 1133.15]
[520.44, 1143.13]
[465.29, 1114.13]
[471.47, 1155.02]
[428.2, 1056.6]
[397.77, 947.72]
[484.31, 896.85]
[454.35, 903.03]
[470.04, 922.52]
[360.69, 1041.39]
[422.02, 1053.75]
[284.61, 996.69]
[294.12, 1038.06]
[306.96, 1078.47]
[310.76, 1116.03]
[269.4, 1085.13]
[257.99, 1029.97]
[271.3, 1131.72]
[297.92, 1183.55]
[208.54, 1081.8]
[228.51, 1174.99]
[188.57, 1181.17]
[161.94, 1222.06]
[164.32, 1147.41]
[94.9, 1193.06]
[51.16, 1223.01]
[155.29, 1291.0]
[113.92, 1295.76]
[86.82, 1404.09]
[160.08, 1413.31]
[178.03, 1284.02]
[186.32, 1355.37]
[238.88, 1347.28]
[282.78, 1338.04]
[264.88, 1285.19]
[315.41, 1336.89]
[358.26, 1199.66]
[366.04, 1241.0]
[268.22, 1174.28]
[123.33, 1130.08]
[382.82, 1282.74]
[378.99, 1361.55]
[364.82, 1319.29]
[330.46, 1414.8]
[329.47, 1455.74]
[353.64, 1453.28]
[349.2, 1485.34]
[277.19, 1459.69]
[232.3, 1500.63]
[192.84, 1436.51]
[299.38, 1539.59]
[322.56, 1566.23]
[305.79, 1607.17]
[219.97, 1536.14]
[93.7, 1468.07]
[120.34, 1564.75]
[74.96, 1551.92]
[72.49, 1497.17]
[110.47, 1509.5]
[181.99, 1510.98]
[32.54, 1533.67]
[34.51, 1576.58]
[140.07, 1573.13]
[131.68, 1607.17]
[202.21, 1611.6]
[176.07, 1639.23]
[170.65, 1689.04]
[221.45, 1648.6]
[217.01, 1767.47]
[397.54, 1681.15]
[419.24, 1726.04]
[453.76, 1574.12]
[458.2, 1524.3]
[510.98, 1669.31]
[518.87, 1622.95]
[542.55, 1674.25]
[564.25, 1688.06]
[547.97, 1625.91]
[496.18, 1565.73]
[534.16, 1553.4]
[506.05, 1491.25]
[461.66, 1463.14]
[551.43, 1442.92]
[535.15, 1427.13]
[534.66, 1471.03]
[336.37, 1507.04]
[422.2, 1501.12]
[476.45, 1335.39]
[469.55, 1373.37]
[452.78, 1409.38]
[453.27, 1355.61]
[457.22, 1314.18]
[501.61, 1379.78]
[532.68, 1324.05]
[589.9, 1341.8]
[605.68, 1300.37]
[554.38, 1295.93]
[449.82, 1401.49]
[280.64, 1408.88]
[371.35, 1609.86]
[548.47, 1363.01]
[502.1, 1325.53]
[537.61, 1644.16]
[488.29, 1558.33]
[477.44, 1500.13]
[456.23, 1608.64]
[430.58, 1647.61]
[411.35, 1705.81]
[354.13, 1700.39]
[171.63, 1562.77]
[129.22, 1518.38]
[160.78, 1538.61]
[184.46, 1539.59]
[317.14, 1484.35]
[355.87, 1334.46]
[228.2, 1404.46]
[238.88, 1303.39]
[185.07, 1393.66]
[126.85, 1400.7]
[132.67, 1358.73]
[61.11, 1399.0]
[166.87, 1327.19]
[102.59, 1360.43]
[106.95, 1334.72]
[41.65, 1275.31]
[59.24, 1183.07]
[106.79, 1245.83]
[117.73, 1183.55]
[77.31, 1269.61]
[147.68, 1177.84]
[238.02, 1216.35]
[204.73, 1237.75]
[205.69, 1144.08]
[233.74, 1203.52]
[336.91, 990.04]
[423.45, 989.56]
[453.4, 980.53]
[454.35, 1145.99]
[508.08, 1122.21]
[530.9, 1100.34]
[514.26, 1072.77]
[507.13, 1040.91]
[541.36, 968.64]
[517.59, 918.72]
[567.99, 936.31]
[105.46, 1005.82]
[148.82, 873.17]
[139.48, 774.13]
[146.06, 477.76]
[142.77, 535.53]
[248.45, 553.38]
[432.09, 490.91]
[547.48, 336.27]
[536.44, 407.07]
[520.85, 308.99]
[578.66, 414.21]
[588.4, 294.05]
[474.93, 187.83]
[514.81, 192.14]
[586.5, 151.18]
[540.14, 124.23]
[278.39, 656.41]
[84.44, 1062.14]
[135.62, 1656.67]
