[784.56, -162.08]
[760.63, 89.12]
[759.26, 135.83]
[739.34, 177.04]
[723.54, 71.95]
[715.99, 121.4]
[679.59, 87.06]
[697.44, 135.83]
[645.93, 49.97]
[619.14, 95.99]
[577.93, 113.85]
[572.41, 158.81]
[666.68, 130.78]
[651.61, 155.31]
[629.88, 199.46]
[623.57, 270.25]
[592.73, 226.8]
[605.35, 253.43]
[681.04, 349.1]
[637.94, 439.51]
[662.82, 501.19]
[627.43, 491.37]
[558.39, 473.15]
[534.91, 492.77]
[290.2, 116.92]
[242.5, 74.09]
[294.55, 204.21]
[296.04, 263.8]
[339.24, 310.99]
[264.25, 264.8]
[243.89, 328.37]
[232.96, 277.71]
[211.11, 171.93]
[192.24, 237.98]
[296.53, 434.15]
[231.47, 447.56]
[349.67, 506.17]
[360.6, 405.84]
[409.27, 463.95]
[274.68, 539.44]
[320.37, 530.01]
[254.32, 550.86]
[261.27, 603.01]
[224.52, 643.24]
[316.89, 589.6]
[307.46, 642.74]
[344.71, 601.03]
[349.67, 666.09]
[394.87, 578.18]
[288.59, 389.46]
[274.68, 467.93]
[484.29, 540.18]
[497.38, 580.3]
[473.73, 598.88]
[525.67, 565.94]
[515.54, 620.42]
[564.53, 659.7]
[588.6, 704.04]
[585.22, 608.6]
[585.64, 639.43]
[608.45, 603.11]
[295.51, 603.53]
[388.7, 707.42]
[422.49, 723.61]
[473.87, 820.04]
[482.32, 774.29]
[635.7, 696.8]
[643.96, 723.74]
[674.13, 722.3]
[680.95, 761.8]
[634.26, 635.4]
[659.4, 673.1]
[553.16, 797.31]
[302.16, 759.28]
[352.08, 801.75]
[342.4, 842.73]
[315.05, 875.91]
[298.15, 812.56]
[289.7, 846.88]
[236.38, 881.19]
[166.69, 850.57]
[129.2, 874.86]
[117.06, 696.93]
[118.11, 748.15]
[70.6, 696.93]
[79.04, 750.79]
[37.86, 733.89]
[73.76, 913.4]
[45.87, 954.38]
[42.13, 1034.02]
[77.4, 1051.12]
[80.61, 1092.27]
[153.83, 1043.1]
[146.88, 1090.13]
[168.26, 1008.9]
[223.85, 1006.22]
[259.12, 1056.46]
[206.79, 1110.05]
[181.9, 1156.04]
[166.75, 1218.26]
[237.08, 1157.12]
[213.82, 1207.44]
[234.38, 1233.95]
[234.92, 1291.84]
[184.06, 1259.38]
[164.04, 1299.42]
[273.88, 1171.73]
