[494.31, 60.79]
[421.46, 138.5]
[507.48, 459.54]
[534.33, 513.23]
[423.85, 478.64]
[453.28, 565.37]
[300.97, 624.75]
[256.34, 561.1]
[216.1, 548.66]
[197.08, 716.94]
[191.47, 788.47]
[191.47, 868.46]
[151.48, 797.36]
[126.3, 847.72]
[124.82, 901.79]
[98.15, 936.6]
[69.27, 1001.03]
[105.56, 1012.14]
[180.36, 921.04]
[228.51, 946.96]
[261.09, 884.01]
[232.95, 809.95]
[278.87, 967.7]
[291.46, 852.9]
[333.68, 841.05]
[364.78, 795.13]
[392.93, 872.9]
[418.11, 944.74]
[417.37, 993.63]
[429.96, 1048.43]
[502.54, 1026.21]
[493.66, 1101.02]
[558.83, 1098.06]
[546.24, 1036.58]
[269.24, 1029.92]
[271.46, 1092.13]
[232.95, 1036.58]
[175.92, 984.74]
[163.33, 1033.62]
[135.19, 1093.61]
[93.4, 1176.67]
[35.57, 1202.87]
[142.19, 1191.13]
[106.95, 1256.18]
[217.19, 1245.34]
[190.08, 1295.94]
[292.18, 1256.18]
[315.68, 1380.87]
[342.78, 1298.65]
[464.76, 1277.87]
[446.69, 1141.43]
[393.38, 1220.04]
[464.76, 969.76]
[463.86, 1014.03]
[621.52, 770.24]
[301.38, 785.61]
[233.51, 772.8]
[376.77, 656.85]
[450.3, 1209.2]
[293.09, 1304.97]
[356.64, 929.93]
[300.35, 898.08]
[135.19, 964.74]
[526.17, 1113.22]
[201.87, 994.98]
[557.43, 875.82]
[158.51, 622.86]
[164.31, 710.48]
[130.01, 1137.35]
[327.06, 955.15]
[319.17, 1006.16]
[496.69, 781.75]
[460.25, 677.38]
[397.31, 1125.97]
[389.49, 1054.97]
[373.27, 1183.54]
[371.6, 994.6]
[358.18, 1008.01]
[367.13, 1051.06]
[504.42, 717.14]
