[256.41, 121.44]
[249.89, 208.36]
[197.01, 181.56]
[223.09, 274.28]
[282.48, 244.58]
[322.32, 252.55]
[365.78, 261.24]
[367.95, 341.64]
[372.3, 388.72]
[273.79, 302.53]
[302.71, 397.57]
[238.04, 359.73]
[258.28, 434.08]
[183.05, 287.14]
[168.38, 349.47]
[141.25, 419.13]
[196.98, 328.2]
[188.18, 400.79]
[194.78, 473.39]
[342.9, 453.59]
[38.63, 484.17]
[142.55, 563.6]
[129.93, 646.73]
[42.34, 663.06]
[72.03, 598.48]
[89.84, 645.99]
[123.25, 517.58]
[42.34, 615.56]
[219.74, 598.48]
[254.63, 674.94]
[280.61, 614.07]
[195.99, 595.52]
[198.22, 668.26]
[172.24, 632.63]
[180.4, 680.88]
[146.7, 676.88]
[110.62, 749.73]
[73.35, 817.43]
[68.02, 725.39]
[176.04, 759.62]
[148.65, 809.06]
[122.79, 788.52]
[91.6, 852.42]
[143.33, 857.74]
[103.01, 934.57]
[214.83, 828.84]
[216.35, 758.09]
[306.11, 721.58]
[393.59, 727.67]
[420.97, 790.04]
[430.1, 624.98]
[382.94, 634.87]
[347.03, 545.96]
[403.88, 860.4]
[370.56, 828.53]
[321.31, 827.08]
[297.4, 916.9]
[281.47, 872.71]
[245.25, 908.93]
[197.44, 915.45]
[188.75, 972.67]
[171.37, 1036.41]
[140.22, 985.71]
[122.11, 1128.4]
[140.95, 1078.42]
[276.4, 1038.59]
[288.71, 994.4]
[354.63, 949.49]
[395.19, 1053.07]
[389.39, 948.04]
[332.55, 770.03]
[346.35, 693.28]
[260.74, 781.91]
[24.16, 599.2]
[336.52, 1001.64]
[253.94, 967.6]
[148.1, 930.13]
[353.9, 911.2]
[374.68, 860.9]
[317.7, 592.53]
[217.63, 429.48]
[83.58, 513.58]
[383.86, 564.23]
[389.19, 688.22]
