[302.41, 121.96]
[344.02, 195.13]
[357.26, 238.91]
[311.87, 235.98]
[261.36, 260.87]
[288.45, 320.89]
[328.71, 382.38]
[339.69, 311.38]
[224.76, 267.46]
[238.67, 344.32]
[364.58, 347.98]
[374.83, 387.51]
[376.29, 460.71]
[338.48, 443.7]
[323.54, 462.37]
[290.67, 510.92]
[264.53, 365.26]
[228.3, 431.0]
[267.74, 556.65]
[264.04, 493.66]
[195.76, 512.71]
[196.81, 579.94]
[221.69, 586.29]
[231.75, 654.57]
[232.81, 704.85]
[169.82, 630.75]
[170.88, 681.56]
[175.11, 732.38]
[144.94, 680.51]
[154.56, 430.21]
[151.52, 475.01]
[131.78, 529.69]
[86.21, 478.05]
[45.21, 515.26]
[52.8, 647.4]
[64.95, 691.44]
[79.38, 650.43]
[78.62, 588.92]
[270.72, 605.97]
[303.4, 664.15]
[299.48, 694.87]
[258.3, 715.14]
[265.49, 757.63]
[273.98, 817.77]
[208.62, 774.62]
[226.92, 740.63]
[194.23, 666.76]
[198.16, 628.85]
[334.78, 636.04]
[396.88, 591.59]
[454.41, 625.58]
[466.83, 598.78]
[455.06, 538.64]
[513.24, 570.67]
[560.3, 634.08]
[507.35, 696.18]
[417.8, 675.92]
[358.97, 700.76]
[397.53, 728.86]
[335.83, 725.78]
[518.34, 751.72]
[540.57, 796.19]
[562.81, 826.76]
[492.4, 780.44]
[459.05, 737.82]
[427.55, 739.67]
[449.78, 806.38]
[383.08, 749.86]
[510.13, 845.42]
[526.02, 916.23]
[487.63, 911.59]
[463.81, 881.82]
[445.49, 979.02]
[447.91, 934.81]
[402.89, 816.23]
[403.29, 938.42]
[394.85, 885.37]
[396.86, 854.42]
[323.31, 854.42]
[361.09, 933.6]
[373.15, 983.44]
[404.57, 1028.0]
[319.12, 989.27]
[341.34, 1056.49]
[280.39, 870.22]
[255.32, 802.43]
[231.97, 808.13]
[221.15, 859.39]
[231.4, 916.36]
[262.16, 975.03]
[191.53, 841.73]
[189.25, 882.18]
[149.37, 847.43]
[116.9, 808.13]
[171.02, 980.72]
[157.35, 1026.86]
[167.6, 796.16]
[107.22, 864.52]
[52.8, 595.0]
[96.85, 430.97]
[251.71, 147.06]
[348.02, 502.29]
[130.63, 473.55]
[116.0, 516.4]
[320.04, 1177.56]
[127.89, 729.72]
