[142.24, 58.41]
[134.71, 100.29]
[170.94, 98.4]
[159.65, 147.81]
[147.88, 190.15]
[197.76, 127.1]
[207.17, 158.63]
[191.17, 200.03]
[293.67, 254.83]
[298.87, 310.83]
[227.66, 303.06]
[200.51, 329.73]
[80.57, 381.63]
[94.34, 424.56]
[120.66, 367.45]
[125.12, 461.01]
[263.62, 329.79]
[278.61, 384.87]
[366.14, 372.67]
[402.63, 418.18]
[333.35, 392.35]
[352.62, 436.22]
[315.31, 451.79]
[321.87, 492.79]
[541.18, 406.27]
[464.48, 430.67]
[546.9, 523.89]
[535.73, 555.65]
[523.96, 606.82]
[476.32, 559.77]
[431.03, 572.71]
[435.77, 639.1]
[403.87, 626.34]
[381.75, 607.2]
[288.35, 589.93]
[324.8, 572.21]
[252.91, 560.56]
[266.07, 526.13]
[243.29, 534.23]
[221.52, 586.89]
[219.49, 637.52]
[176.45, 629.42]
[190.63, 483.6]
[148.1, 534.74]
[107.28, 399.38]
[66.81, 595.53]
[38.33, 602.65]
[93.92, 741.68]
[39.3, 686.53]
[47.7, 740.1]
[140.14, 638.21]
[196.87, 677.08]
[259.9, 704.39]
[361.8, 725.4]
[432.71, 708.59]
[401.72, 660.27]
[263.05, 772.67]
[209.48, 729.07]
[156.95, 738.0]
[196.87, 779.5]
[152.75, 801.03]
[207.9, 889.27]
[285.45, 877.22]
[291.14, 936.84]
[104.28, 854.05]
[109.98, 816.83]
[105.04, 884.05]
[69.72, 926.97]
[140.74, 901.9]
[111.5, 940.26]
[173.41, 933.43]
[191.26, 980.52]
[259.37, 890.95]
[375.63, 937.78]
[405.77, 978.68]
[307.81, 1014.21]
[272.29, 993.75]
[224.38, 950.69]
[162.48, 1012.59]
[132.34, 980.84]
[111.35, 1025.51]
[293.34, 1082.81]
[239.63, 1054.78]
[283.99, 1229.51]
[275.72, 1188.14]
[222.21, 1153.39]
[224.97, 1205.79]
[172.57, 1214.07]
[446.19, 1086.32]
[447.21, 1121.25]
[423.47, 1098.19]
[465.53, 1043.92]
[481.13, 1066.64]
[547.03, 1020.78]
[512.43, 1035.68]
[522.52, 963.1]
[510.5, 900.13]
[478.3, 913.11]
[480.22, 971.27]
[429.75, 938.11]
[542.04, 863.46]
[577.56, 880.98]
[411.15, 823.56]
[413.1, 860.05]
[449.59, 919.42]
[502.41, 799.5]
[543.79, 755.23]
[523.52, 725.44]
[459.25, 711.08]
[445.85, 742.08]
[452.13, 666.26]
[533.81, 678.41]
[535.48, 640.3]
[120.65, 693.46]
[558.94, 647.84]
[508.58, 944.35]
[553.28, 1048.66]
[184.15, 1161.66]
[250.9, 1143.46]
[177.01, 1068.03]
[241.07, 1010.44]
[288.43, 1036.28]
[343.33, 1037.35]
[367.05, 659.74]
[75.01, 699.14]
[458.09, 606.82]
[490.05, 387.67]
[238.52, 377.98]
[115.89, 137.93]
[232.32, 343.43]
[296.83, 728.09]
[319.96, 762.78]
[296.56, 644.09]
[321.35, 632.73]
[245.96, 645.12]
[245.2, 426.72]
[191.84, 1096.4]
