[411.91, 56.43]
[428.56, 159.08]
[467.4, 147.29]
[461.16, 224.96]
[428.56, 247.16]
[489.59, 213.17]
[341.87, 168.09]
[305.8, 215.95]
[342.56, 228.43]
[370.8, 292.7]
[318.14, 319.38]
[365.18, 244.26]
[444.52, 307.45]
[561.45, 496.39]
[583.49, 464.4]
[510.99, 514.87]
[491.09, 476.49]
[483.27, 404.7]
[463.37, 442.37]
[437.08, 389.78]
[456.27, 507.76]
[432.81, 589.49]
[405.1, 462.27]
[410.07, 545.43]
[381.64, 435.27]
[330.47, 362.06]
[356.06, 441.66]
[313.41, 524.82]
[323.36, 421.76]
[283.56, 471.51]
[218.17, 500.65]
[289.96, 500.65]
[286.4, 557.51]
[244.47, 551.11]
[212.4, 604.05]
[293.38, 626.42]
[499.84, 559.64]
[479.29, 534.8]
[592.35, 608.46]
[582.07, 655.57]
[513.55, 630.73]
[482.71, 659.0]
[468.15, 587.91]
[465.58, 702.68]
[444.17, 637.58]
[355.95, 679.55]
[363.66, 742.93]
[391.92, 796.04]
[427.89, 741.22]
[466.44, 765.2]
[251.45, 650.43]
[230.9, 708.67]
[230.9, 773.77]
[140.96, 653.0]
[96.42, 651.29]
[127.26, 716.38]
[172.65, 781.48]
[55.31, 647.86]
[54.45, 727.52]
[69.02, 811.46]
[104.13, 737.8]
[104.99, 855.14]
[55.31, 864.56]
[309.97, 758.64]
[295.11, 806.95]
[269.1, 761.12]
[236.27, 828.62]
[199.73, 766.69]
[331.03, 800.75]
[320.5, 868.26]
[387.39, 855.87]
[375.62, 927.71]
[354.75, 891.13]
[341.16, 948.42]
[264.04, 884.28]
[244.23, 918.96]
[276.2, 971.13]
[275.2, 1022.78]
[222.54, 1015.76]
[220.53, 1080.46]
[190.44, 989.69]
[235.08, 1040.34]
[418.7, 961.31]
[441.06, 1022.35]
[479.13, 1010.26]
[473.09, 960.1]
[461.61, 915.98]
[453.75, 842.85]
[490.01, 867.03]
[516.0, 784.23]
[521.44, 900.87]
[553.47, 807.19]
[593.96, 865.21]
[597.59, 810.22]
[614.51, 839.23]
[435.41, 666.63]
[96.31, 801.94]
[542.13, 846.86]
[382.36, 693.77]
[405.36, 419.09]
[447.64, 721.08]
[556.85, 669.58]
[416.33, 648.76]
[444.71, 947.07]
[408.36, 695.53]
[428.01, 829.57]
[251.64, 729.29]
[259.71, 700.06]
[541.24, 608.28]
