[95.27, 37.87]
[108.67, 74.04]
[136.14, 106.2]
[117.38, 117.59]
[134.8, 147.74]
[164.95, 153.1]
[97.28, 139.7]
[128.77, 188.61]
[180.36, 186.6]
[224.58, 202.68]
[195.77, 224.12]
[231.28, 246.9]
[74.5, 151.76]
[85.22, 207.37]
[30.28, 88.78]
[70.48, 53.36]
[89.97, 87.2]
[161.26, 250.74]
[172.94, 296.74]
[172.94, 336.57]
[223.74, 388.06]
[253.26, 409.34]
[187.35, 418.95]
[213.44, 467.01]
[259.71, 622.16]
[244.94, 628.66]
[250.26, 682.45]
[160.42, 634.57]
[171.06, 666.49]
[184.65, 681.86]
[175.79, 613.3]
[321.44, 823.21]
[264.97, 829.31]
[229.36, 827.28]
[251.74, 861.87]
[276.16, 879.68]
[211.04, 827.28]
[211.04, 870.01]
[207.48, 904.61]
[290.76, 947.36]
[318.35, 976.79]
[269.79, 967.96]
[232.27, 934.12]
[237.79, 963.55]
[260.59, 1016.52]
[192.17, 985.25]
[156.49, 1031.23]
[145.08, 1049.26]
[218.29, 1020.93]
[280.82, 985.99]
[297.01, 1002.54]
[315.77, 1018.36]
[332.33, 1035.28]
[251.71, 1036.47]
[273.39, 1068.86]
[252.21, 1081.12]
[211.49, 1084.28]
[271.43, 1125.9]
[272.11, 1154.4]
[294.73, 1127.48]
[321.19, 1111.42]
[347.2, 1148.52]
[336.78, 1179.71]
[274.59, 1183.56]
[239.39, 1223.08]
[248.17, 1259.33]
[250.46, 1297.88]
[282.89, 1274.6]
[316.86, 1341.38]
[367.36, 1242.84]
[359.24, 1263.0]
[404.67, 1338.8]
[369.67, 1356.41]
[364.34, 1393.03]
[299.67, 1389.09]
[292.72, 1332.31]
[290.17, 1372.87]
[282.75, 1330.92]
[375.98, 1461.5]
[395.93, 1493.09]
[376.27, 1421.07]
[260.0, 1134.89]
[229.01, 1004.16]
[214.18, 1108.35]
[284.72, 1241.65]
[389.71, 1301.95]
[280.71, 1105.09]
[213.14, 957.66]
[249.07, 581.38]
[227.86, 422.39]
[37.45, 143.53]
[205.41, 398.62]
[131.43, 605.92]
[202.84, 714.12]
[344.56, 1226.8]
