[533.09, 99.58]
[549.0, 159.23]
[484.04, 90.3]
[498.62, 159.23]
[421.73, 83.67]
[150.51, 267.52]
[665.57, 324.21]
[729.47, 393.82]
[658.72, 374.42]
[681.54, 434.9]
[608.51, 377.85]
[686.11, 507.94]
[561.72, 393.82]
[546.89, 479.41]
[513.79, 428.06]
[565.15, 506.8]
[501.24, 461.15]
[510.37, 515.93]
[514.94, 584.4]
[478.42, 470.28]
[465.87, 539.89]
[423.64, 442.89]
[413.37, 525.06]
[390.55, 571.84]
[293.55, 557.01]
[246.77, 538.75]
[155.47, 627.76]
[204.54, 546.74]
[239.69, 726.25]
[256.19, 780.59]
[219.32, 794.18]
[195.06, 864.05]
[154.3, 943.62]
[308.04, 843.74]
[337.75, 798.36]
[394.68, 799.18]
[413.66, 876.75]
[421.91, 940.28]
[509.38, 740.6]
[482.15, 781.86]
[537.43, 705.94]
[580.34, 851.17]
[573.74, 911.4]
[513.5, 811.56]
[621.59, 878.4]
[603.44, 938.63]
[663.68, 958.43]
[652.95, 900.68]
[624.9, 587.95]
[638.92, 659.73]
[666.15, 596.2]
[174.39, 479.39]
[554.85, 956.97]
[555.86, 1030.45]
[478.35, 1031.46]
[455.19, 941.87]
[420.97, 1002.27]
[281.05, 977.1]
[244.81, 900.6]
[598.14, 1022.4]
[587.06, 1069.71]
[563.53, 1163.62]
[677.37, 1378.47]
[655.12, 1451.23]
[607.18, 1423.84]
[528.43, 1392.17]
[563.53, 1452.09]
[447.97, 1166.19]
[471.94, 1236.38]
[531.86, 1287.74]
[481.35, 1131.09]
[493.34, 1205.56]
[394.9, 1147.35]
[397.47, 1228.67]
[443.69, 1286.88]
[412.02, 1339.1]
[342.68, 1232.95]
[363.23, 1267.19]
[464.23, 1320.26]
[473.65, 1360.5]
[432.56, 1347.66]
[434.12, 1376.96]
[402.3, 1388.81]
[418.77, 1444.27]
[453.18, 1548.01]
[508.89, 1554.81]
[509.5, 1600.62]
[472.37, 1589.47]
[483.51, 1641.47]
[429.66, 1508.39]
[374.57, 1515.2]
[323.82, 1569.67]
[323.2, 1519.53]
[288.54, 1455.78]
[326.3, 1398.84]
[347.96, 1346.85]
[299.68, 1318.38]
[276.16, 1374.08]
[243.36, 1347.47]
[248.31, 1416.79]
[143.68, 1265.6]
[157.72, 1573.46]
[115.2, 1583.9]
[136.09, 1542.13]
[115.95, 1529.45]
[85.36, 1598.82]
[264.05, 1601.9]
[270.85, 1670.61]
[304.07, 1674.39]
[236.87, 1663.82]
[218.75, 1721.96]
[173.44, 1766.51]
[182.5, 1662.31]
[188.54, 1701.57]
[96.85, 1080.5]
[86.62, 1147.54]
[207.07, 1104.03]
[181.91, 992.03]
[158.37, 994.46]
[162.43, 1071.57]
[58.54, 1032.61]
[113.73, 974.98]
[201.73, 964.28]
[220.09, 1028.05]
[250.05, 1050.27]
[314.78, 1083.13]
[276.13, 1201.01]
[203.67, 1229.99]
[207.24, 1344.92]
[177.9, 1206.03]
[262.02, 1288.19]
[427.57, 1219.89]
[474.11, 1095.31]
[418.98, 1287.19]
[118.47, 1131.2]
[276.31, 611.16]
[562.51, 556.75]
[441.14, 598.53]
[447.77, 506.34]
[335.07, 739.74]
[441.64, 876.76]
[427.37, 824.42]
[571.49, 1252.61]
[544.66, 1254.67]
[325.22, 1724.22]
[139.07, 1643.57]
[534.88, 1650.13]
[556.68, 1385.32]
[596.91, 1221.83]
[620.28, 1062.67]
[508.55, 951.94]
[178.14, 792.62]
