[143.34, 2094.1]
[186.47, 2055.82]
[240.39, 2078.46]
[356.84, 2033.71]
[350.37, 2009.45]
[341.78, 1898.93]
[304.19, 1914.52]
[285.39, 1943.86]
[195.99, 1898.01]
[177.65, 1945.69]
[142.54, 1837.82]
[76.68, 1869.88]
[89.39, 1832.91]
[70.32, 1768.2]
[85.92, 1787.84]
[245.84, 1744.36]
[241.74, 1773.84]
[244.61, 1827.06]
[272.45, 1827.47]
[293.74, 1852.44]
[348.07, 1776.0]
[319.7, 1768.99]
[324.09, 1728.63]
[57.69, 1635.45]
[43.56, 1675.41]
[187.82, 1688.08]
[181.0, 1640.32]
[193.18, 1604.74]
[209.75, 1649.58]
[244.84, 1655.92]
[264.34, 1655.43]
[270.19, 1619.36]
[298.94, 1643.73]
[413.86, 1518.12]
[405.57, 1554.04]
[398.66, 1587.88]
[319.92, 1538.84]
[293.67, 1526.41]
[306.1, 1469.08]
[279.17, 1440.76]
[224.6, 1458.72]
[120.99, 1565.78]
[158.98, 1497.4]
[179.01, 1460.1]
[114.78, 1420.73]
[117.54, 1445.59]
[115.17, 1498.46]
[110.59, 1479.07]
[77.11, 1433.61]
[47.51, 1461.81]
[47.51, 1406.13]
[243.17, 1551.61]
[223.72, 1379.85]
[250.11, 1419.89]
[222.24, 1424.92]
[180.58, 1355.83]
[164.2, 1387.56]
[137.58, 1410.59]
[224.68, 1267.89]
[167.2, 1298.32]
[278.57, 1395.46]
[247.95, 1288.94]
[268.22, 1203.98]
[275.98, 1257.89]
[308.7, 1209.43]
[330.09, 1176.68]
[340.56, 1134.34]
[341.44, 1088.5]
[322.41, 968.63]
[167.61, 1135.68]
[130.86, 1168.34]
[127.89, 1149.04]
[126.04, 1125.65]
[143.11, 1086.3]
[434.07, 918.69]
[261.84, 1090.03]
[235.89, 1081.53]
[195.63, 1045.3]
[158.5, 1000.56]
[222.02, 984.01]
[227.39, 916.9]
[283.76, 909.74]
[319.54, 843.83]
[292.95, 804.4]
[282.87, 755.35]
[234.13, 749.75]
[197.1, 728.31]
[245.83, 621.11]
[290.66, 649.04]
[319.25, 695.18]
[368.62, 756.25]
[297.8, 584.07]
[291.31, 528.84]
[324.32, 561.86]
[400.61, 490.83]
[372.33, 436.89]
[457.18, 488.86]
[473.62, 535.55]
[442.71, 541.47]
[337.56, 356.46]
[334.71, 402.11]
[331.38, 453.0]
[267.03, 376.37]
[267.52, 422.11]
[370.72, 332.74]
[399.15, 371.4]
[434.41, 403.24]
[427.37, 300.71]
[435.65, 253.47]
[400.43, 251.39]
[410.37, 334.69]
[246.67, 350.03]
[227.61, 377.38]
[288.58, 442.92]
[307.56, 368.5]
[414.5, 110.56]
[392.05, 164.1]
[424.86, 219.36]
[451.63, 157.19]
[354.06, 133.01]
[341.1, 226.27]
[291.02, 222.82]
[301.95, 136.26]
[325.55, 82.32]
[343.69, 178.78]
[214.75, 696.88]
[264.49, 314.39]
[356.93, 701.02]
[165.2, 1534.01]
[275.71, 1500.16]
[288.12, 1769.28]
[312.69, 1749.39]
[224.14, 1807.41]
[134.25, 964.8]
[156.41, 1254.11]
[301.24, 2012.61]
[298.66, 2039.43]
[318.78, 2057.49]
[312.07, 1964.63]
[240.36, 1899.11]
[140.8, 1943.48]
[164.54, 2059.19]
[130.48, 1919.23]
[323.93, 149.81]
[340.68, 282.6]
[406.05, 69.59]
[361.21, 481.91]
[364.52, 584.49]
[334.9, 491.28]
[363.65, 523.51]
[395.88, 542.68]
[217.3, 760.46]
[218.17, 862.39]
[414.06, 873.82]
[432.0, 853.46]
[166.07, 666.75]
[177.92, 707.37]
[259.15, 709.06]
[342.51, 750.52]
[250.27, 1026.38]
[205.42, 1012.42]
[403.01, 957.42]
[353.08, 986.61]
[336.58, 1000.15]
[348.43, 1027.23]
[268.89, 930.34]
[169.93, 613.01]
[312.59, 732.84]
[276.92, 956.57]
[184.71, 963.86]
[314.68, 1071.64]
[262.54, 992.11]
[210.64, 1153.1]
[218.85, 1090.75]
[196.64, 1138.89]
[201.37, 1113.06]
[181.04, 1087.68]
[290.77, 1234.02]
[276.46, 1313.07]
[116.63, 1245.16]
[78.13, 1284.56]
[136.12, 1281.81]
[171.88, 1554.79]
[130.22, 1464.34]
[350.99, 1656.05]
[197.02, 1783.47]
[204.94, 1751.31]
[123.3, 1873.52]
[335.03, 1942.12]
[346.29, 1967.84]
[347.4, 1924.44]
[362.69, 1933.39]
[193.19, 2104.34]
[256.43, 2011.85]
[255.08, 2028.38]
[253.17, 1980.57]
[100.22, 1302.57]
[291.37, 1719.57]
[320.46, 1703.7]
[92.63, 1804.12]
[100.76, 1853.24]
[68.29, 1659.24]
[133.1, 1203.85]
