[300.54, 52.48]
[299.71, 126.4]
[264.39, 200.32]
[353.1, 256.18]
[316.14, 271.78]
[302.18, 335.85]
[284.93, 393.35]
[340.67, 556.24]
[346.49, 620.27]
[325.71, 687.62]
[295.77, 635.23]
[656.64, 452.3]
[646.66, 521.32]
[610.91, 593.66]
[698.24, 804.76]
[697.73, 855.89]
[689.55, 892.18]
[625.64, 846.17]
[646.61, 922.35]
[572.99, 882.47]
[474.82, 889.63]
[408.25, 804.77]
[415.49, 864.9]
[427.81, 927.22]
[295.94, 794.62]
[368.47, 754.34]
[642.92, 1013.79]
[616.4, 1043.47]
[659.34, 1159.01]
[576.63, 1034.63]
[561.47, 1091.45]
[566.52, 1152.7]
[469.29, 1029.58]
[474.97, 1085.14]
[493.91, 1135.65]
[437.09, 1049.78]
[425.72, 1107.87]
[312.65, 1067.11]
[282.59, 1143.35]
[352.92, 1180.4]
[376.55, 1121.88]
[464.35, 1148.19]
[466.63, 1174.67]
[456.74, 1270.24]
[488.31, 1382.88]
[402.81, 1450.66]
[361.99, 1403.67]
[301.21, 1216.69]
[291.78, 1279.96]
[276.66, 1298.46]
[290.03, 1368.08]
[260.51, 1366.97]
[308.41, 1423.78]
[209.83, 1379.78]
[202.59, 1421.55]
[209.27, 1332.99]
[242.13, 1279.52]
[236.56, 1401.5]
[222.64, 1452.74]
[241.57, 1455.52]
[284.85, 1509.64]
[292.74, 1553.05]
[304.58, 1582.26]
[373.26, 1587.78]
[405.44, 1616.91]
[370.43, 1669.71]
[405.66, 1665.63]
[438.57, 1698.53]
[546.9, 1570.7]
[534.08, 1624.57]
[251.53, 1526.04]
[253.6, 1574.33]
[171.13, 1634.51]
[111.82, 1644.34]
[210.44, 1720.85]
[191.49, 1502.29]
[221.55, 1763.36]
[251.16, 1810.59]
[263.14, 1742.22]
[279.57, 1808.36]
[296.53, 1741.05]
[361.01, 1743.11]
[349.7, 1771.88]
[321.45, 1767.51]
[333.04, 1810.3]
[143.22, 1773.22]
[155.23, 1817.27]
[176.71, 1860.59]
[92.98, 1802.34]
[65.31, 1796.88]
[354.54, 1843.72]
[250.83, 1829.27]
[378.45, 1960.65]
[352.7, 1962.52]
[338.15, 1994.23]
[333.68, 2021.46]
[268.02, 1992.36]
[315.77, 2040.12]
[347.79, 2152.23]
[367.58, 2181.46]
[317.67, 2150.44]
[276.75, 2141.89]
[284.85, 2173.82]
[228.65, 2169.32]
[215.02, 2223.08]
[261.95, 2270.57]
[337.81, 2286.83]
[311.49, 2346.82]
[347.63, 2360.77]
[305.41, 2399.15]
[312.49, 2450.71]
[280.19, 2384.98]
[277.93, 2422.66]
[272.26, 2460.62]
[312.21, 2429.46]
[80.63, 2328.8]
[92.8, 1912.48]
[67.16, 1868.93]
[27.97, 1920.22]
[180.86, 2012.64]
[189.57, 2045.06]
[145.54, 2040.22]
[128.12, 1995.22]
[106.55, 2099.18]
[86.96, 2133.95]
[58.06, 2166.77]
[54.63, 2228.49]
[70.55, 2266.08]
[60.98, 2295.48]
[193.09, 2270.69]
[187.82, 2298.62]
[129.59, 2199.24]
[143.65, 2286.57]
[340.55, 2515.98]
[231.66, 2504.49]
[236.5, 2553.48]
[120.97, 2529.29]
[144.56, 2570.42]
[90.72, 2419.19]
[66.52, 2421.9]
[63.95, 2451.22]
[73.21, 2488.77]
[363.53, 2552.27]
[134.61, 2240.9]
[202.88, 2336.77]
[176.09, 2206.23]
[78.63, 2216.73]
[57.57, 2123.18]
[91.85, 2183.91]
[131.03, 1946.35]
[151.83, 1992.32]
[151.35, 1952.64]
[57.48, 1897.0]
[95.81, 2286.64]
[313.43, 2300.37]
[363.35, 2326.69]
[206.62, 2166.62]
[292.49, 2115.82]
[279.95, 2023.33]
[393.37, 2010.64]
[368.75, 2027.43]
[370.99, 1928.57]
[192.53, 1748.78]
[74.05, 1760.11]
[103.17, 1764.48]
[381.3, 1798.59]
[290.11, 1775.99]
[111.12, 1710.67]
[170.43, 1696.28]
[356.68, 1551.47]
[459.78, 1315.89]
[314.78, 730.86]
[487.09, 803.23]
[685.12, 653.98]
[404.85, 332.57]
[673.45, 562.2]
[531.22, 822.67]
[357.87, 866.23]
[668.12, 728.44]
[653.01, 796.89]
[629.01, 1100.91]
[428.09, 1305.31]
[429.83, 1345.4]
[405.43, 1354.99]
[105.93, 1583.42]
[154.34, 1500.78]
[151.84, 1535.01]
[142.66, 1570.07]
[422.3, 1590.94]
[193.25, 1786.13]
[217.24, 2017.79]
[264.13, 2072.72]
[262.22, 2318.47]
[396.07, 2448.97]
[376.71, 2449.52]
[351.81, 2436.8]
[361.77, 2468.89]
[288.19, 2517.02]
[99.54, 2455.61]
[96.22, 2488.25]
[87.92, 2513.7]
[269.38, 2543.57]
[224.02, 2472.76]
[207.42, 2468.33]
[342.41, 2260.32]
[357.34, 2274.15]
[373.94, 2283.55]
[387.22, 2275.26]
[287.08, 2197.8]
[261.08, 2169.59]
[229.35, 2051.22]
[278.6, 1705.04]
[293.16, 559.43]
[305.76, 1171.5]
[459.73, 1232.74]
[370.41, 1228.49]
[327.88, 1261.66]
[323.62, 1298.24]
[313.42, 1316.11]
[334.42, 1399.58]
[345.74, 1430.07]
[195.88, 1605.87]
[241.19, 1682.77]
[58.41, 2028.71]
[251.7, 2118.35]
[128.44, 2309.53]
[136.85, 2336.14]
[304.24, 1121.83]
