[846.46, 232.14]
[244.03, 177.85]
[237.76, 125.61]
[264.92, 53.52]
[328.66, 124.57]
[318.21, 203.97]
[310.89, 271.88]
[282.69, 307.4]
[389.25, 178.3]
[413.13, 235.02]
[428.06, 298.45]
[398.21, 262.63]
[398.21, 299.19]
[380.3, 352.93]
[374.33, 238.75]
[486.65, 573.8]
[522.19, 637.26]
[731.91, 614.34]
[738.34, 671.09]
[707.29, 732.11]
[756.54, 744.96]
[741.55, 787.79]
[722.28, 839.18]
[601.91, 744.31]
[611.19, 779.27]
[625.4, 815.32]
[189.42, 354.11]
[179.07, 247.37]
[181.42, 303.33]
[228.91, 365.4]
[220.99, 415.4]
[294.96, 443.39]
[257.64, 427.4]
[188.34, 422.07]
[147.68, 356.76]
[301.62, 527.66]
[300.82, 590.3]
[58.28, 489.91]
[79.96, 540.51]
[89.6, 591.91]
[126.54, 705.15]
[100.84, 669.01]
[90.4, 636.08]
[59.89, 453.77]
[347.4, 679.45]
[291.98, 649.73]
[260.66, 627.25]
[245.42, 712.05]
[345.36, 755.16]
[300.29, 743.41]
[292.45, 791.41]
[262.08, 834.52]
[105.28, 835.06]
[39.46, 795.07]
[406.04, 788.41]
[416.03, 827.56]
[436.86, 883.38]
[286.07, 887.55]
[460.75, 1019.46]
[476.02, 1050.01]
[505.18, 1068.06]
[568.37, 966.31]
[559.33, 1006.47]
[631.62, 1018.52]
[641.66, 1069.73]
[684.12, 1056.33]
[706.6, 1093.49]
[712.65, 1198.93]
[716.1, 1226.59]
[611.52, 1119.42]
[601.15, 1178.19]
[615.85, 1144.48]
[565.72, 1144.48]
[550.16, 1173.87]
[519.91, 1225.73]
[522.5, 1274.99]
[471.51, 1216.22]
[634.86, 1281.9]
[609.8, 1261.16]
[598.56, 1263.75]
[609.8, 1304.38]
[615.85, 1342.4]
[654.74, 1357.96]
[594.24, 1376.11]
[556.21, 1364.87]
[541.52, 1383.02]
[539.79, 1427.1]
[515.59, 1482.42]
[626.63, 958.7]
[610.37, 920.75]
[450.23, 1509.51]
[479.34, 1484.37]
[466.77, 1380.18]
[492.57, 1389.11]
[331.74, 929.83]
[330.05, 893.67]
[339.65, 963.16]
[301.8, 922.49]
[288.81, 934.91]
[270.73, 950.17]
[284.85, 993.67]
[274.12, 1043.38]
[353.21, 1058.07]
[302.36, 1056.38]
[218.75, 984.06]
[234.57, 1026.43]
[227.79, 1063.72]
[156.05, 967.68]
[153.22, 1011.75]
[128.93, 1077.28]
[104.07, 1051.29]
[85.99, 983.5]
[130.06, 1137.73]
[342.76, 1092.8]
[316.18, 1103.14]
[249.23, 1150.89]
[282.7, 1146.46]
[313.72, 1175.01]
[352.61, 1206.52]
[146.83, 1184.36]
[168.98, 1220.79]
[125.17, 984.0]
[200.49, 1287.74]
[379.3, 1339.48]
[342.42, 1241.3]
[288.1, 1191.97]
[299.06, 1237.82]
[182.46, 1342.73]
[204.07, 1329.51]
[228.23, 1298.49]
[253.87, 1326.24]
[280.89, 1390.3]
[230.84, 1348.26]
[291.9, 1325.23]
[307.92, 1350.26]
[364.19, 1363.07]
[340.07, 1375.99]
[329.73, 1325.16]
[310.77, 1291.55]
[329.18, 1463.93]
[349.4, 1475.36]
[388.97, 1479.32]
[344.57, 1507.45]
[315.55, 1480.64]
[289.62, 1503.06]
[356.0, 1541.74]
[394.68, 1521.08]
[258.4, 1492.95]
[258.4, 1538.23]
[398.2, 1561.09]
[432.92, 1667.0]
[698.09, 1544.8]
[677.82, 1587.6]
[606.49, 1604.87]
[639.53, 1667.94]
[604.99, 1693.47]
[375.99, 1661.93]
[346.71, 1631.9]
[687.58, 1669.44]
[698.09, 1694.97]
[710.11, 1734.01]
[556.19, 1712.99]
[442.26, 1629.17]
[763.42, 1541.05]
[709.36, 1597.36]
[578.07, 1584.62]
[615.92, 1601.5]
[565.76, 1606.51]
[589.47, 1636.61]
[286.5, 1624.78]
[294.71, 1701.23]
[340.84, 1659.53]
[383.81, 1712.61]
[421.72, 1751.15]
[546.38, 1780.9]
[560.56, 1740.28]
[374.73, 1785.34]
[293.49, 1848.67]
[350.42, 1864.02]
[375.37, 1859.54]
[370.25, 1810.29]
[415.3, 1901.63]
[292.48, 1878.59]
[319.61, 1853.42]
[461.99, 1910.84]
[407.71, 1875.32]
[417.41, 1946.56]
[413.39, 1999.73]
[522.17, 1883.38]
[611.71, 1880.12]
[596.27, 1906.61]
[760.73, 644.83]
[629.54, 1898.24]
[593.87, 1941.34]
[549.29, 2026.05]
[355.34, 1980.72]
[282.52, 2079.55]
[354.6, 2124.88]
[384.32, 2062.46]
[376.89, 2121.16]
[451.2, 2112.25]
[454.17, 2144.94]
[574.55, 2138.25]
[622.85, 2110.76]
[662.98, 2153.11]
[683.04, 2179.12]
[674.87, 2050.57]
[607.99, 2177.64]
[609.48, 2218.51]
[388.98, 2204.66]
[358.29, 2179.84]
[325.79, 2092.73]
[658.52, 2017.87]
[704.59, 2066.17]
[647.38, 2115.22]
[611.71, 2078.81]
[582.73, 2095.15]
[445.26, 2086.24]
[350.88, 2079.55]
[341.22, 2043.88]
[374.09, 1748.24]
[434.99, 1741.04]
[359.79, 1688.6]
[288.39, 1662.06]
[727.38, 1547.81]
[727.38, 1508.76]
[308.96, 1532.95]
[237.85, 1379.29]
[268.88, 1365.27]
[219.32, 942.26]
[308.01, 985.76]
[633.13, 1376.97]
[583.0, 1328.58]
[643.5, 1332.03]
[570.04, 1104.73]
[480.94, 526.84]
[288.95, 96.36]
[368.68, 2216.73]
[379.02, 2091.1]
[391.52, 1974.15]
[399.05, 2018.74]
[372.99, 2013.09]
[310.81, 2055.48]
[431.19, 2047.22]
[457.88, 2044.07]
[440.09, 2003.25]
[301.45, 1909.71]
[460.44, 1789.97]
[419.12, 1762.95]
[400.57, 1805.34]
[619.12, 2022.11]
[593.38, 2048.92]
[553.01, 1982.99]
[505.92, 1957.13]
[478.68, 1931.28]
[555.78, 1966.83]
[694.29, 1874.49]
[678.13, 1835.71]
[415.09, 1836.07]
[465.87, 1706.89]
[420.51, 1658.07]
[547.4, 1669.76]
[539.63, 1633.26]
[535.24, 1594.4]
[516.31, 1628.19]
[525.77, 1655.57]
[562.61, 1655.9]
[624.12, 1650.83]
[746.14, 1531.36]
[616.29, 1359.28]
[512.59, 1187.33]
[378.0, 912.49]
[346.04, 828.99]
[317.7, 849.61]
[314.53, 813.83]
[253.48, 737.65]
[316.09, 725.12]
[241.07, 572.27]
[185.8, 380.13]
[333.88, 1166.92]
