[131.47, 61.01]
[138.38, 105.93]
[75.32, 96.43]
[81.37, 151.71]
[109.87, 213.03]
[311.99, 219.94]
[314.58, 257.09]
[361.22, 238.95]
[381.09, 276.09]
[410.46, 327.91]
[429.46, 276.09]
[505.47, 229.45]
[526.2, 270.91]
[534.84, 197.49]
[618.62, 122.34]
[632.44, 185.39]
[643.33, 101.75]
[650.82, 133.48]
[672.42, 191.65]
[602.7, 371.49]
[646.42, 415.21]
[566.48, 396.48]
[552.11, 358.38]
[559.61, 438.32]
[569.6, 483.29]
[586.46, 500.78]
[541.49, 478.29]
[498.4, 403.35]
[488.41, 437.07]
[385.98, 376.49]
[398.47, 427.08]
[427.2, 465.8]
[469.67, 502.65]
[522.76, 522.01]
[320.66, 366.55]
[296.64, 424.09]
[280.83, 469.61]
[312.44, 460.76]
[342.79, 475.93]
[340.26, 525.88]
[351.64, 397.53]
[119.81, 326.18]
[112.13, 394.02]
[96.13, 362.66]
[132.61, 409.38]
[88.45, 397.86]
[114.69, 474.66]
[149.26, 522.02]
[177.42, 570.03]
[177.42, 522.66]
[64.77, 433.7]
[83.33, 479.78]
[92.29, 506.02]
[30.85, 522.02]
[24.45, 421.54]
[3.97, 470.18]
[5.25, 346.02]
[29.55, 646.36]
[56.55, 555.65]
[69.51, 626.92]
[98.66, 619.36]
[124.58, 562.13]
[141.86, 613.96]
[260.46, 620.77]
[281.4, 589.92]
[290.76, 643.36]
[218.59, 582.76]
[221.35, 660.44]
[145.87, 719.94]
[178.37, 775.59]
[226.87, 820.09]
[349.46, 767.78]
[354.92, 633.48]
[398.65, 606.93]
[415.04, 656.12]
[467.36, 671.74]
[436.13, 659.25]
[435.34, 705.31]
[490.0, 611.62]
[471.26, 559.3]
[451.74, 555.4]
[459.55, 613.96]
[314.26, 677.12]
[316.65, 595.06]
[534.16, 635.3]
[521.41, 706.6]
[504.68, 690.67]
[464.55, 719.48]
[89.17, 831.87]
[94.45, 779.55]
[91.99, 750.26]
[651.03, 779.12]
[612.85, 756.56]
[409.19, 805.16]
[443.91, 802.26]
[457.79, 843.34]
[498.87, 786.06]
[541.68, 775.07]
[563.09, 849.71]
[540.53, 877.48]
[511.02, 911.61]
[464.73, 935.91]
[417.87, 942.86]
[383.73, 947.48]
[651.03, 889.63]
[645.25, 846.81]
[683.56, 933.48]
[615.38, 872.38]
[618.33, 907.8]
[646.08, 946.76]
[560.37, 936.24]
[556.44, 957.39]
[537.74, 971.17]
[524.27, 1081.29]
[619.4, 1033.48]
[615.91, 1066.85]
[559.64, 1135.08]
[500.87, 1110.68]
[659.47, 1207.91]
[613.31, 1168.95]
[504.05, 1207.49]
[534.54, 1164.29]
[417.65, 1007.17]
[454.92, 1068.58]
[445.61, 1100.76]
[464.28, 1243.25]
[488.77, 1283.95]
[483.37, 1336.88]
[492.73, 1380.1]
[448.79, 1332.92]
[482.65, 1233.17]
[420.34, 1197.16]
[384.33, 1277.82]
[338.96, 1162.23]
[323.47, 1238.93]
[336.8, 1298.35]
[398.19, 1359.41]
[365.38, 1350.3]
[332.94, 1351.39]
[315.8, 1369.98]
[197.68, 1152.79]
[167.19, 1145.04]
[177.53, 1202.39]
[66.96, 1197.74]
[26.94, 1190.46]
[6.01, 1169.17]
[4.52, 1224.09]
[196.55, 894.24]
[184.57, 920.08]
[140.45, 863.35]
[171.34, 966.09]
[135.41, 924.49]
[161.25, 1015.89]
[60.4, 955.38]
[69.86, 993.83]
[29.52, 935.84]
[33.93, 971.13]
[100.11, 876.59]
[211.05, 783.3]
[309.78, 864.91]
[315.94, 907.97]
[351.31, 996.4]
[352.08, 1064.07]
[328.24, 1011.78]
[303.63, 987.17]
[279.03, 913.35]
[282.1, 997.94]
[316.7, 1076.37]
[277.49, 1057.91]
[261.34, 1012.55]
[289.79, 1105.59]
[294.4, 1038.69]
[273.64, 861.06]
[305.17, 962.56]
[360.53, 1031.0]
[335.93, 950.26]
[100.11, 952.23]
[128.48, 959.16]
[120.28, 881.63]
[149.28, 915.04]
[190.25, 843.81]
[225.54, 925.12]
[180.16, 862.09]
[115.01, 1200.84]
[123.28, 1165.19]
[152.21, 1171.39]
[209.56, 1189.99]
[385.8, 1393.68]
[408.4, 1394.77]
[343.64, 1280.71]
[346.52, 1258.74]
[340.4, 1192.84]
[382.89, 1229.57]
[385.77, 1197.52]
[408.82, 1242.17]
[482.65, 1197.52]
[508.57, 1332.56]
[415.96, 1067.73]
[395.63, 1034.7]
[429.09, 1039.78]
[467.63, 1049.1]
[515.91, 1254.92]
[512.09, 1232.47]
[527.34, 1209.6]
[584.94, 1231.63]
[631.1, 1197.32]
[584.54, 1043.94]
[526.77, 1021.53]
[385.47, 866.48]
[390.68, 901.2]
[477.46, 884.42]
[512.76, 962.53]
[509.86, 872.27]
[538.79, 913.93]
[533.58, 839.29]
[551.52, 815.57]
[469.94, 798.79]
[653.35, 810.94]
[488.74, 738.47]
[556.86, 663.58]
[349.46, 710.0]
[275.28, 795.11]
[221.9, 631.79]
[118.1, 677.67]
[19.83, 571.85]
[48.13, 477.22]
[99.33, 435.62]
[78.85, 319.78]
[451.05, 215.63]
[360.02, 474.01]
[75.13, 656.76]
[88.15, 535.56]
[312.94, 1288.69]
[304.73, 1255.83]
[150.72, 1208.12]
[357.59, 818.53]
[344.85, 597.4]
[663.77, 891.91]
[443.53, 894.4]
[442.99, 863.57]
[332.43, 552.45]
