[393.91, 137.96]
[420.36, 358.86]
[391.58, 286.91]
[353.9, 395.17]
[341.56, 317.06]
[265.51, 321.86]
[291.55, 260.88]
[247.69, 119.04]
[256.6, 205.38]
[231.93, 257.45]
[287.43, 127.27]
[297.03, 194.41]
[170.14, 385.93]
[158.49, 462.64]
[224.52, 390.78]
[50.7, 337.37]
[44.88, 268.43]
[103.76, 285.41]
[588.23, 657.07]
[460.02, 462.43]
[445.98, 543.17]
[378.57, 549.49]
[399.64, 402.74]
[498.64, 397.83]
[538.67, 392.91]
[363.67, 649.39]
[296.2, 713.87]
[300.97, 787.91]
[255.6, 774.18]
[263.96, 707.31]
[232.31, 673.87]
[253.21, 610.58]
[451.44, 607.6]
[419.79, 662.53]
[474.12, 676.86]
[494.43, 605.21]
[492.05, 738.22]
[501.72, 805.31]
[489.02, 872.4]
[447.92, 837.95]
[435.84, 753.94]
[345.78, 782.34]
[352.43, 870.59]
[352.43, 914.11]
[396.55, 961.25]
[380.23, 1002.96]
[434.63, 1031.36]
[398.97, 1022.3]
[353.03, 999.93]
[680.47, 955.42]
[647.43, 932.17]
[584.41, 1066.78]
[684.75, 809.18]
[645.6, 782.26]
[660.89, 756.56]
[616.23, 743.72]
[548.31, 771.25]
[536.07, 716.79]
[594.78, 686.22]
[571.87, 727.1]
[400.0, 710.31]
[440.42, 713.73]
[429.56, 919.99]
[84.94, 497.94]
[177.49, 483.01]
[514.72, 460.86]
[425.33, 503.81]
[619.38, 904.44]
[609.72, 839.48]
[466.64, 783.3]
[520.56, 525.33]
[96.24, 228.1]
[326.61, 203.83]
[352.61, 280.71]
[220.4, 485.22]
[395.34, 913.5]
[149.75, 313.1]
[581.62, 829.25]
[272.02, 488.77]
[612.3, 508.9]
[635.68, 591.54]
[588.55, 871.42]
