[381.05, 81.73]
[333.44, 210.32]
[253.16, 97.36]
[198.46, 164.14]
[258.14, 181.9]
[258.85, 263.6]
[223.33, 250.82]
[321.12, 246.93]
[329.58, 273.51]
[327.16, 317.01]
[318.1, 379.84]
[348.91, 405.82]
[288.5, 338.15]
[365.22, 336.34]
[348.91, 319.43]
[353.8, 483.03]
[363.15, 554.23]
[309.21, 486.62]
[263.18, 572.21]
[231.54, 315.46]
[189.11, 358.61]
[170.41, 405.36]
[208.52, 411.83]
[147.39, 431.25]
[268.94, 423.34]
[225.07, 446.35]
[215.0, 489.5]
[252.39, 516.83]
[150.99, 529.06]
[95.61, 580.84]
[143.8, 613.92]
[197.02, 507.48]
[215.72, 548.47]
[220.03, 598.82]
[316.4, 537.69]
[468.87, 574.37]
[471.03, 651.32]
[431.47, 578.68]
[428.6, 648.44]
[440.1, 714.61]
[478.94, 751.29]
[399.83, 708.86]
[422.12, 754.16]
[42.54, 596.61]
[46.91, 642.04]
[278.36, 465.85]
[77.01, 683.6]
[120.97, 643.98]
[42.34, 692.89]
[39.87, 795.66]
[70.82, 736.22]
[153.16, 678.65]
[140.78, 739.94]
[166.16, 793.18]
[235.67, 655.87]
[227.14, 734.75]
[262.31, 694.78]
[329.99, 647.88]
[316.67, 692.65]
[333.7, 740.1]
[340.04, 821.94]
[377.47, 858.1]
[384.45, 788.32]
[285.48, 790.85]
[295.63, 872.06]
[87.41, 829.47]
[86.04, 790.47]
[131.45, 807.45]
[148.88, 876.72]
[139.25, 916.63]
[107.14, 862.5]
[89.52, 920.05]
[96.02, 949.31]
[114.24, 1013.28]
[61.59, 1045.09]
[189.93, 883.84]
[182.25, 959.53]
[242.58, 967.21]
[234.9, 900.3]
[346.32, 915.76]
[352.41, 993.91]
[268.24, 933.47]
[318.98, 914.82]
[373.87, 955.21]
[277.56, 1039.1]
[266.16, 1103.31]
[301.38, 949.0]
[239.67, 1062.72]
[233.43, 1127.0]
[67.36, 893.7]
[189.93, 1019.86]
[311.97, 625.24]
[211.06, 705.9]
[289.64, 908.7]
[214.75, 938.18]
[303.46, 155.74]
