[153.09, 67.37]
[246.89, 133.41]
[258.38, 214.77]
[279.43, 192.76]
[191.5, 152.6]
[205.17, 217.54]
[125.57, 242.94]
[122.97, 336.86]
[160.41, 425.57]
[83.9, 388.13]
[123.78, 467.89]
[223.54, 336.97]
[284.58, 349.76]
[372.94, 324.76]
[358.99, 404.99]
[271.54, 495.0]
[237.91, 475.38]
[228.81, 526.53]
[162.25, 498.5]
[138.43, 587.48]
[43.85, 614.1]
[47.35, 682.06]
[102.7, 637.92]
[286.46, 591.88]
[235.41, 640.92]
[259.93, 559.85]
[377.52, 645.06]
[413.69, 694.7]
[320.08, 672.01]
[310.86, 757.11]
[310.15, 811.01]
[294.55, 888.32]
[444.9, 793.28]
[444.19, 877.68]
[351.28, 808.89]
[441.05, 948.79]
[492.74, 1006.94]
[467.61, 968.89]
[456.84, 1030.63]
[201.04, 604.79]
[189.42, 670.92]
[169.79, 757.41]
[146.02, 688.47]
[66.09, 737.92]
[51.07, 805.49]
[99.49, 757.82]
[107.75, 820.13]
[141.16, 895.58]
[268.14, 818.65]
[243.31, 974.7]
[220.26, 785.85]
[214.05, 850.57]
[182.13, 911.75]
[107.96, 1010.3]
[129.22, 971.39]
[164.51, 830.71]
[308.47, 1031.96]
[287.82, 970.03]
[382.97, 959.26]
[359.63, 1041.83]
[320.14, 1101.07]
[391.94, 900.92]
[426.99, 1085.79]
[437.67, 1146.08]
[462.1, 1220.12]
[398.75, 1144.56]
[424.7, 1230.04]
[149.17, 1268.2]
[130.86, 1204.09]
[96.51, 1104.11]
[57.59, 1107.92]
[218.93, 1103.84]
[286.06, 722.17]
[85.06, 1189.59]
[334.5, 939.51]
[168.13, 964.61]
[251.29, 885.15]
[299.91, 420.72]
[278.84, 541.65]
[42.06, 769.61]
[130.51, 191.98]
[375.73, 1152.0]
