[313.83, 79.09]
[348.57, 105.14]
[376.63, 147.24]
[325.18, 137.22]
[357.92, 177.97]
[468.84, 256.14]
[464.16, 337.66]
[575.74, 334.99]
[561.04, 421.18]
[248.67, 230.5]
[311.47, 275.92]
[350.12, 309.74]
[257.2, 291.7]
[262.03, 339.21]
[227.41, 352.89]
[161.95, 341.63]
[230.07, 426.64]
[209.7, 495.34]
[165.54, 513.49]
[178.31, 435.89]
[411.4, 589.69]
[400.32, 541.0]
[426.42, 508.86]
[356.96, 480.09]
[316.26, 482.2]
[260.13, 451.32]
[316.96, 549.56]
[527.46, 677.96]
[504.3, 595.87]
[492.38, 639.37]
[444.66, 642.88]
[450.98, 701.82]
[429.93, 769.17]
[422.91, 819.69]
[454.49, 795.84]
[468.52, 763.56]
[581.49, 816.89]
[542.89, 780.4]
[404.44, 638.05]
[389.05, 690.32]
[448.83, 586.86]
[488.92, 558.58]
[569.83, 594.02]
[545.13, 594.73]
[580.21, 564.66]
[614.22, 582.56]
[325.68, 601.18]
[347.53, 728.51]
[245.28, 689.69]
[205.59, 650.43]
[185.32, 599.52]
[156.84, 637.48]
[16.09, 596.13]
[90.07, 659.72]
[74.01, 681.43]
[56.23, 628.08]
[93.89, 716.75]
[140.75, 694.64]
[150.92, 741.06]
[204.41, 730.9]
[185.4, 780.85]
[225.19, 748.58]
[356.63, 810.24]
[362.27, 857.85]
[388.59, 871.01]
[332.82, 835.92]
[340.97, 894.2]
[239.46, 849.71]
[212.52, 851.59]
[542.61, 926.78]
[577.5, 943.9]
[533.73, 942.63]
[565.44, 965.47]
[536.27, 998.45]
[502.65, 969.27]
[493.77, 1008.6]
[456.98, 936.93]
[431.61, 950.25]
[443.66, 987.03]
[406.24, 989.57]
[431.61, 1027.63]
[349.79, 1026.36]
[388.48, 1050.46]
[331.46, 1064.75]
[330.17, 1121.25]
[409.15, 1105.84]
[388.6, 1137.95]
[448.32, 1112.9]
[462.44, 1154.64]
[289.08, 1031.36]
[246.7, 998.61]
[294.21, 1073.09]
[307.7, 1121.25]
[300.64, 1170.05]
[267.25, 1096.85]
[262.11, 1150.15]
[226.8, 1109.69]
[176.71, 1012.1]
[200.47, 963.3]
[161.94, 940.18]
[145.89, 899.09]
[139.47, 953.02]
[158.09, 983.84]
[171.58, 1076.3]
[162.59, 1120.61]
[138.19, 1121.25]
[274.04, 930.34]
[319.41, 777.28]
[447.32, 444.24]
[442.15, 381.73]
[297.39, 308.53]
[294.04, 230.19]
[158.11, 785.52]
[474.81, 411.97]
[474.81, 464.53]
[215.84, 530.09]
[133.06, 552.34]
[259.47, 986.09]
[210.91, 993.68]
[310.63, 951.64]
[531.67, 628.14]
[431.33, 616.92]
[220.16, 292.5]
[282.0, 259.01]
[549.68, 342.34]
[616.5, 358.37]
[488.88, 192.67]
[196.81, 1242.2]
[239.15, 1309.11]
[211.85, 1005.84]
[357.62, 911.54]
[375.55, 831.05]
[319.14, 699.51]
[326.95, 731.87]
[347.66, 626.8]
[342.77, 664.46]
[242.48, 714.79]
[247.54, 482.15]
[256.94, 1283.7]
[252.71, 1243.05]
[196.81, 1273.54]
