[373.64, 73.32]
[459.11, 167.09]
[513.88, 220.2]
[421.77, 166.26]
[388.58, 155.47]
[342.11, 92.41]
[408.49, 207.75]
[429.24, 260.03]
[298.13, 213.56]
[264.1, 152.98]
[215.15, 135.56]
[252.49, 94.07]
[254.98, 182.03]
[261.61, 272.48]
[245.02, 343.01]
[299.79, 321.43]
[254.98, 409.39]
[331.32, 386.16]
[344.6, 465.82]
[503.92, 274.14]
[547.07, 386.99]
[441.68, 445.08]
[389.41, 404.42]
[391.89, 461.67]
[443.34, 338.03]
[252.49, 446.74]
[291.49, 407.73]
[286.51, 535.53]
[306.42, 467.48]
[406.83, 505.65]
[463.26, 494.86]
[495.62, 507.31]
[507.24, 542.16]
[532.96, 580.34]
[256.8, 575.24]
[248.5, 665.69]
[324.84, 631.66]
[417.78, 618.39]
[454.29, 659.05]
[415.29, 585.19]
[375.46, 601.79]
[387.9, 672.32]
[348.9, 552.0]
[604.84, 649.05]
[587.06, 599.66]
[618.67, 572.0]
[635.46, 615.46]
[677.94, 656.95]
[664.11, 605.58]
[639.42, 751.79]
[374.67, 287.49]
[479.38, 607.56]
[436.9, 591.75]
[337.13, 611.51]
[521.86, 696.47]
[527.79, 764.63]
[500.13, 759.69]
[464.56, 752.78]
[426.04, 724.13]
[372.69, 765.62]
[340.09, 698.44]
[306.5, 716.23]
[629.32, 839.85]
[588.16, 803.73]
[539.44, 849.93]
[495.76, 835.65]
[283.13, 931.17]
[289.77, 871.42]
[289.77, 729.53]
[110.39, 706.39]
[111.22, 764.48]
[57.29, 671.54]
[34.05, 762.82]
[592.51, 732.95]
[604.96, 788.54]
[57.29, 719.67]
[319.35, 769.57]
[348.98, 781.42]
[381.58, 713.26]
[492.22, 700.42]
[634.48, 714.25]
[265.09, 620.05]
[515.54, 314.8]
[277.38, 367.9]
[313.06, 243.43]
[476.54, 238.45]
[420.94, 132.24]
[301.91, 158.0]
[250.02, 482.62]
[298.48, 664.62]
[239.65, 730.81]
[409.53, 763.16]
[478.65, 847.74]
[497.04, 624.91]
[353.86, 433.6]
[506.44, 427.97]
[476.43, 462.99]
[594.61, 425.47]
[291.15, 262.05]
