[388.12, 78.98]
[400.66, 145.07]
[358.5, 188.93]
[363.05, 139.94]
[424.01, 69.29]
[344.25, 70.43]
[299.25, 141.65]
[332.86, 130.82]
[318.05, 184.37]
[311.21, 249.32]
[281.02, 239.07]
[258.8, 280.66]
[190.43, 273.82]
[241.71, 244.19]
[174.24, 429.5]
[191.54, 453.72]
[226.72, 458.91]
[200.77, 501.01]
[256.78, 647.79]
[226.2, 636.67]
[197.7, 656.13]
[174.07, 647.09]
[165.73, 680.45]
[142.8, 652.65]
[159.48, 621.38]
[229.92, 747.41]
[226.4, 791.73]
[223.58, 818.47]
[215.84, 855.06]
[185.59, 897.97]
[147.6, 837.47]
[134.23, 878.27]
[139.86, 914.16]
[158.42, 947.88]
[102.16, 974.95]
[72.24, 1024.09]
[234.3, 1036.91]
[240.96, 1065.99]
[262.16, 1092.03]
[174.95, 1084.76]
[197.36, 1128.97]
[125.29, 1076.89]
[90.76, 1086.58]
[78.05, 1121.7]
[197.82, 1203.44]
[154.29, 1204.67]
[121.8, 1241.45]
[58.65, 1265.36]
[102.77, 1327.86]
[95.94, 1375.03]
[42.57, 1455.1]
[107.74, 1429.65]
[86.01, 1446.41]
[13.4, 1433.99]
[23.33, 1358.89]
[32.9, 1516.73]
[16.57, 1544.38]
[79.83, 1346.15]
[375.03, 36.93]
[265.42, 203.44]
[209.85, 236.3]
[126.53, 824.53]
[105.99, 877.92]
[82.89, 869.2]
[85.12, 961.27]
[27.47, 1091.61]
[46.41, 1084.77]
[136.79, 1111.0]
[213.77, 1243.29]
[268.6, 589.4]
[66.89, 1151.0]
[137.57, 1326.57]
[58.64, 1424.69]
