[324.87, 82.68]
[314.65, 139.63]
[316.84, 204.61]
[345.31, 156.42]
[366.48, 203.15]
[401.53, 195.12]
[447.52, 233.08]
[504.47, 261.55]
[455.55, 194.39]
[423.43, 80.49]
[446.06, 137.44]
[512.5, 229.43]
[397.15, 75.38]
[397.15, 111.89]
[387.68, 278.95]
[257.93, 295.09]
[257.93, 337.93]
[278.42, 330.48]
[268.48, 384.49]
[310.7, 330.48]
[307.59, 395.04]
[336.15, 352.83]
[396.93, 383.88]
[409.25, 448.99]
[430.36, 367.16]
[455.0, 434.91]
[488.43, 472.75]
[483.15, 307.33]
[514.83, 366.28]
[127.97, 455.0]
[135.45, 524.83]
[69.37, 512.36]
[35.7, 552.27]
[177.9, 819.16]
[193.23, 798.72]
[202.72, 839.6]
[147.97, 815.51]
[532.35, 517.64]
[516.7, 515.56]
[627.03, 649.6]
[577.51, 644.43]
[580.47, 759.73]
[529.47, 671.04]
[522.08, 602.3]
[513.21, 658.47]
[476.26, 632.61]
[500.65, 632.61]
[495.47, 574.96]
[458.52, 522.48]
[443.0, 470.75]
[304.79, 478.14]
[353.08, 572.74]
[335.27, 630.63]
[307.28, 607.73]
[300.92, 580.37]
[288.19, 649.08]
[321.27, 670.71]
[363.26, 674.53]
[424.97, 704.43]
[491.14, 725.43]
[458.06, 731.79]
[354.99, 742.6]
[361.35, 806.86]
[415.33, 836.94]
[420.85, 776.68]
[481.57, 869.6]
[498.59, 820.84]
[541.37, 881.1]
[514.23, 887.08]
[550.11, 819.0]
[520.21, 778.52]
[478.81, 774.84]
[441.23, 933.09]
[449.15, 982.59]
[422.09, 919.89]
[398.33, 917.91]
[393.71, 981.93]
[506.57, 1019.55]
[537.59, 1065.75]
[580.47, 1134.63]
[635.26, 1137.31]
[531.7, 1105.9]
[555.08, 1112.59]
[347.97, 1051.12]
[347.97, 1101.23]
[321.25, 1068.49]
[297.86, 1120.6]
[451.04, 278.82]
[519.88, 730.87]
[536.31, 945.04]
[452.59, 804.74]
[383.62, 766.14]
[429.43, 639.54]
[384.89, 606.46]
[457.78, 563.87]
[578.99, 729.42]
[166.95, 876.84]
[86.82, 443.78]
[542.98, 444.59]
[510.43, 412.04]
[479.63, 405.88]
[466.29, 687.88]
